Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,26.090000,26.870001,25.600000,26.820000,26.361538,432300
2019-01-03,26.590000,26.650000,25.410000,25.590000,25.152563,513400
2019-01-04,25.900000,27.020000,25.900000,26.700001,26.243589,537900
2019-01-07,26.690001,27.820000,26.379999,27.430000,26.961111,446200
2019-01-08,27.709999,28.879999,27.590000,28.709999,28.219227,803800
2019-01-09,28.760000,29.430000,28.639999,29.400000,28.897432,601500
2019-01-10,28.860001,29.570000,28.379999,29.500000,28.995724,597100
2019-01-11,29.750000,30.809999,29.650000,30.639999,30.116238,658600
2019-01-14,30.650000,30.900000,30.010000,30.610001,30.086752,580500
2019-01-15,30.990000,31.139999,30.430000,30.809999,30.283331,393000
2019-01-16,31.309999,31.889999,30.959999,31.280001,30.745298,387000
2019-01-17,31.080000,34.150002,30.969999,33.490002,32.917519,3075400
2019-01-18,33.840000,34.139999,33.009998,33.520000,32.947006,1246800
2019-01-22,33.570000,33.919998,32.509998,32.720001,32.160683,652800
2019-01-23,32.759998,33.020000,31.030001,31.150000,30.617519,820200
2019-01-24,31.719999,32.240002,31.180000,31.500000,30.961536,1002000
2019-01-25,31.000000,31.240000,30.530001,30.950001,30.420938,1131300
2019-01-28,30.940001,32.700001,30.940001,32.610001,32.052559,1215100
2019-01-29,32.610001,33.680000,32.200001,33.000000,32.435894,1162700
2019-01-30,30.510000,31.610001,28.500000,30.790001,30.263676,3330000
2019-01-31,30.639999,32.150002,30.610001,32.020000,31.472649,1235600
2019-02-01,32.040001,32.189999,30.920000,31.000000,30.470083,787200
2019-02-04,31.340000,31.629999,29.870001,30.170000,29.654272,1144800
2019-02-05,30.260000,30.670000,30.200001,30.299999,29.782047,693000
2019-02-06,30.270000,30.799999,30.120001,30.730000,30.204699,496600
2019-02-07,30.540001,30.840000,30.209999,30.760000,30.352715,541100
2019-02-08,30.740000,30.959999,30.260000,30.650000,30.244169,336100
2019-02-11,30.889999,31.049999,30.559999,30.719999,30.313242,535200
2019-02-12,30.980000,31.150000,30.500000,30.549999,30.145494,490100
2019-02-13,30.590000,30.969999,30.520000,30.730000,30.323111,405600
2019-02-14,30.610001,31.309999,30.160000,31.280001,30.865829,851100
2019-02-15,31.420000,32.169998,31.320000,31.610001,31.191460,709900
2019-02-19,31.770000,32.889999,31.639999,32.439999,32.010468,659400
2019-02-20,31.590000,31.750000,30.309999,30.780001,30.372450,1397400
2019-02-21,30.740000,32.099998,30.700001,31.700001,31.280268,779000
2019-02-22,31.590000,31.719999,31.000000,31.450001,31.033579,596700
2019-02-25,31.549999,31.850000,31.370001,31.389999,30.974373,588900
2019-02-26,31.360001,31.420000,30.450001,30.469999,30.066553,831800
2019-02-27,30.459999,30.570000,29.370001,29.480000,29.089661,1014700
2019-02-28,29.500000,29.809999,28.910000,29.750000,29.356087,814600
2019-03-01,29.980000,30.049999,29.270000,29.620001,29.227808,721300
2019-03-04,28.750000,28.750000,26.370001,26.379999,26.030706,2969100
2019-03-05,26.420000,26.730000,25.410000,26.190001,25.843225,1932600
2019-03-06,26.200001,26.969999,26.100000,26.200001,25.853092,1084700
2019-03-07,26.270000,26.650000,25.799999,25.879999,25.537329,644200
2019-03-08,25.670000,25.940001,25.190001,25.620001,25.280773,710500
2019-03-11,25.650000,26.299999,25.330000,25.639999,25.300507,896300
2019-03-12,25.639999,25.860001,25.030001,25.570000,25.231434,569800
2019-03-13,25.790001,27.070000,25.600000,26.980000,26.622765,1261600
2019-03-14,27.030001,27.980000,26.340000,26.570000,26.218193,1238900
2019-03-15,26.639999,26.870001,25.930000,25.969999,25.626137,1182400
2019-03-18,26.000000,26.110001,25.510000,25.969999,25.626137,554800
2019-03-19,26.040001,26.490000,25.799999,25.889999,25.547194,536200
2019-03-20,25.870001,25.870001,25.040001,25.330000,24.994610,725900
2019-03-21,25.280001,25.820000,25.200001,25.540001,25.201830,619900
2019-03-22,25.379999,25.620001,24.459999,24.490000,24.165733,900800
2019-03-25,24.500000,24.770000,24.240000,24.610001,24.284143,664700
2019-03-26,24.700001,25.719999,24.690001,24.969999,24.639376,781600
2019-03-27,25.139999,26.110001,25.139999,25.840000,25.497860,638500
2019-03-28,25.910000,26.200001,25.650000,26.170000,25.823488,490500
2019-03-29,26.150000,26.799999,26.049999,26.250000,25.902428,898100
2019-04-01,26.370001,27.290001,26.299999,26.910000,26.553690,905600
2019-04-02,27.250000,27.389999,26.559999,27.129999,26.770777,541900
2019-04-03,27.379999,27.930000,27.120001,27.549999,27.185217,662100
2019-04-04,27.520000,27.780001,26.570000,27.680000,27.313496,567300
2019-04-05,27.740000,28.290001,27.510000,28.219999,27.846344,509900
2019-04-08,28.059999,28.160000,27.530001,27.549999,27.185217,909900
2019-04-09,27.580000,29.450001,27.410000,29.320000,28.931780,1189200
2019-04-10,29.530001,29.610001,27.330000,28.690001,28.310122,1277000
2019-04-11,29.100000,29.879999,29.000000,29.629999,29.237677,923600
2019-04-12,29.740000,30.040001,29.309999,29.590000,29.198206,604200
2019-04-15,29.780001,30.000000,29.180000,29.580000,29.188337,554000
2019-04-16,29.520000,30.059999,29.520000,29.910000,29.513968,743500
2019-04-17,30.160000,30.690001,30.040001,30.620001,30.214567,626600
2019-04-18,30.510000,30.610001,29.770000,30.459999,30.056684,693000
2019-04-22,30.110001,30.240000,29.639999,29.690001,29.296881,611100
2019-04-23,29.770000,30.750000,29.430000,30.440001,30.036951,838700
2019-04-24,30.010000,30.270000,27.559999,28.340000,27.964756,2259200
2019-04-25,28.190001,28.850000,26.920000,26.969999,26.612896,1880800
2019-04-26,27.049999,27.379999,26.799999,27.219999,26.859585,1060700
2019-04-29,27.160000,28.139999,27.120001,27.930000,27.560184,820300
2019-04-30,27.930000,28.430000,27.549999,28.209999,27.836475,728900
2019-05-01,28.270000,28.790001,27.709999,27.799999,27.431906,918100
2019-05-02,27.650000,28.090000,26.790001,27.000000,26.642498,1258400
2019-05-03,27.200001,28.120001,27.180000,28.049999,27.678596,583700
2019-05-06,27.500000,28.320000,27.120001,28.240000,27.866079,519100
2019-05-07,27.940001,28.290001,27.240000,27.580000,27.214819,530900
2019-05-08,27.530001,27.690001,26.860001,27.100000,26.741177,423100
2019-05-09,27.000000,27.219999,26.639999,26.709999,26.356339,815000
2019-05-10,26.590000,27.010000,25.680000,26.719999,26.366207,635700
2019-05-13,26.139999,26.200001,25.450001,25.480000,25.142624,753400
2019-05-14,25.530001,26.400000,25.040001,26.190001,25.843225,1133500
2019-05-15,26.000000,27.030001,25.660000,26.959999,26.603027,904900
2019-05-16,26.780001,27.490000,26.600000,26.709999,26.474176,707000
2019-05-17,26.450001,27.309999,26.219999,26.930000,26.692234,928800
2019-05-20,26.520000,26.879999,25.790001,26.450001,26.216473,766500
2019-05-21,26.520000,27.160000,26.490000,26.820000,26.583204,614200
2019-05-22,26.730000,26.980000,26.219999,26.270000,26.038063,406200
2019-05-23,26.000000,26.240000,25.480000,25.770000,25.542475,722600
2019-05-24,25.940001,26.070000,25.299999,25.330000,25.106359,541900
2019-05-28,25.330000,25.799999,25.080000,25.510000,25.284771,567400
2019-05-29,25.450001,25.590000,25.160000,25.490000,25.264948,529100
2019-05-30,25.400000,26.139999,25.209999,25.780001,25.552387,489400
2019-05-31,25.410000,25.600000,24.910000,24.980000,24.759449,649800
2019-06-03,24.879999,25.889999,24.879999,25.820000,25.592033,614600
2019-06-04,26.200001,27.000000,25.889999,26.930000,26.692234,675600
2019-06-05,27.000000,27.090000,26.150000,26.360001,26.127266,553500
2019-06-06,26.410000,26.830000,25.830000,26.230000,25.998415,649900
2019-06-07,26.340000,26.430000,25.540001,25.570000,25.344240,687500
2019-06-10,25.590000,26.150000,25.270000,25.870001,25.641594,863900
2019-06-11,26.180000,26.400000,25.820000,26.219999,25.988501,488000
2019-06-12,26.200001,26.700001,25.930000,26.440001,26.206562,327000
2019-06-13,26.490000,27.320000,26.490000,27.059999,26.821087,540300
2019-06-14,26.959999,27.290001,26.620001,26.670000,26.434530,347600
2019-06-17,26.160000,26.610001,25.830000,26.070000,25.839827,430400
2019-06-18,26.090000,26.760000,26.070000,26.330000,26.097532,346200
2019-06-19,26.480000,26.520000,25.799999,25.969999,25.740709,479700
2019-06-20,26.080000,26.299999,25.860001,25.980000,25.750620,506700
2019-06-21,25.860001,26.370001,25.450001,25.690001,25.463182,933800
2019-06-24,25.690001,26.040001,25.219999,25.719999,25.492916,743900
2019-06-25,25.690001,26.150000,25.590000,25.709999,25.483006,441900
2019-06-26,25.850000,26.420000,25.520000,26.219999,25.988501,416200
2019-06-27,26.420000,27.059999,26.330000,27.049999,26.811174,514000
2019-06-28,27.100000,27.670000,27.049999,27.430000,27.187819,764900
2019-07-01,27.629999,27.870001,27.410000,27.650000,27.405878,457300
2019-07-02,27.770000,27.950001,27.080000,27.570000,27.326582,424500
2019-07-03,27.740000,27.910000,27.330000,27.410000,27.167995,408000
2019-07-05,27.280001,28.170000,27.280001,28.000000,27.752787,382500
2019-07-08,27.840000,28.480000,27.809999,28.120001,27.871729,482400
2019-07-09,27.889999,28.080000,26.610001,27.080000,26.840910,882200
2019-07-10,27.490000,27.690001,27.090000,27.230000,26.989584,452900
2019-07-11,27.370001,27.480000,26.360001,26.410000,26.176825,704100
2019-07-12,26.430000,27.750000,26.410000,27.629999,27.386051,589000
2019-07-15,27.650000,28.290001,27.540001,28.139999,27.891550,597700
2019-07-16,28.320000,29.200001,28.250000,28.910000,28.654753,708500
2019-07-17,28.690001,28.830000,27.500000,27.559999,27.316671,612800
2019-07-18,27.430000,27.670000,27.080000,27.549999,27.306759,508800
2019-07-19,27.549999,28.049999,27.280001,27.330000,27.088703,433800
2019-07-22,27.450001,28.180000,27.059999,27.100000,26.860733,324300
2019-07-23,27.250000,27.860001,27.129999,27.680000,27.435614,615200
2019-07-24,27.590000,28.639999,27.410000,28.549999,28.297930,707000
2019-07-25,28.020000,28.209999,26.969999,27.000000,26.761616,646600
2019-07-26,27.090000,27.230000,26.850000,27.110001,26.870646,346300
2019-07-29,26.469999,26.750000,26.209999,26.440001,26.206562,662100
2019-07-30,26.180000,26.850000,26.180000,26.690001,26.454353,762600
2019-07-31,27.600000,27.639999,25.620001,25.990000,25.760532,1809300
2019-08-01,26.280001,26.410000,25.530001,25.940001,25.710976,930400
2019-08-02,25.820000,27.110001,25.760000,27.090000,26.850822,868200
2019-08-05,26.299999,26.500000,24.480000,24.760000,24.541393,1304700
2019-08-06,25.000000,25.690001,24.770000,25.620001,25.393801,674500
2019-08-07,25.450001,25.889999,25.049999,25.790001,25.562300,585000
2019-08-08,26.010000,26.690001,25.930000,26.600000,26.365147,546600
2019-08-09,26.420000,26.490000,25.639999,25.719999,25.492916,443800
2019-08-12,25.520000,25.650000,25.219999,25.600000,25.373976,534200
2019-08-13,25.520000,26.080000,25.139999,25.580000,25.354153,393700
2019-08-14,25.129999,25.280001,24.410000,24.730000,24.511658,553600
2019-08-15,24.700001,24.709999,23.680000,23.780001,23.684975,578600
2019-08-16,24.049999,24.840000,24.049999,24.719999,24.621218,395500
2019-08-19,25.280001,25.520000,24.879999,25.129999,25.029579,372700
2019-08-20,25.100000,25.450001,24.870001,25.420000,25.318422,374800
2019-08-21,24.049999,24.700001,22.840000,24.100000,24.003696,1639600
2019-08-22,24.129999,24.490000,24.030001,24.200001,24.103296,474700
2019-08-23,24.150000,24.290001,23.309999,23.530001,23.435974,673000
2019-08-26,23.799999,23.920000,23.250000,23.350000,23.256693,584000
2019-08-27,23.670000,23.900000,22.910000,23.500000,23.406094,823600
2019-08-28,23.469999,24.250000,23.309999,24.000000,23.904095,366000
2019-08-29,24.240000,24.990000,24.139999,24.860001,24.760660,372000
2019-08-30,24.870001,25.090000,24.330000,24.410000,24.312458,386200
2019-09-03,24.040001,24.129999,23.129999,23.610001,23.515656,658700
2019-09-04,23.940001,23.990000,22.920000,23.219999,23.127213,615500
2019-09-05,23.520000,24.230000,23.330000,23.840000,23.744736,578900
2019-09-06,24.080000,24.690001,23.930000,24.209999,24.113256,402500
2019-09-09,24.170000,25.510000,24.170000,25.469999,25.368221,758500
2019-09-10,25.540001,27.110001,25.240000,27.080000,26.971788,967700
2019-09-11,27.250000,28.230000,26.730000,28.090000,27.977753,780000
2019-09-12,27.980000,28.629999,27.450001,27.700001,27.589312,761200
2019-09-13,28.139999,28.500000,27.889999,28.360001,28.246674,452400
2019-09-16,27.500000,28.090000,26.840000,28.059999,27.947872,704500
2019-09-17,27.700001,28.250000,27.559999,27.770000,27.659031,534400
2019-09-18,27.790001,28.000000,27.270000,27.510000,27.400070,597400
2019-09-19,27.530001,27.650000,26.820000,26.830000,26.722786,572900
2019-09-20,26.889999,27.400000,26.850000,26.969999,26.862226,968300
2019-09-23,26.660000,27.440001,26.459999,27.260000,27.151070,593200
2019-09-24,27.430000,27.780001,27.000000,27.160000,27.051468,449200
2019-09-25,27.080000,27.590000,26.820000,27.290001,27.180950,391000
2019-09-26,27.290001,27.330000,26.219999,26.250000,26.145105,651800
2019-09-27,26.420000,27.010000,26.139999,26.150000,26.045504,409400
2019-09-30,26.309999,26.480000,25.959999,26.260000,26.155066,950200
2019-10-01,26.430000,27.360001,26.250000,26.610001,26.503666,507700
2019-10-02,26.370001,26.650000,25.709999,26.129999,26.025583,505200
2019-10-03,25.969999,26.320000,25.469999,25.530001,25.427982,496600
2019-10-04,25.459999,25.920000,25.430000,25.700001,25.597303,301800
2019-10-07,25.730000,25.740000,25.030001,25.209999,25.109259,732100
2019-10-08,26.400000,27.100000,26.219999,27.000000,26.892107,3065400
2019-10-09,26.990000,27.719999,26.950001,27.490000,27.380150,681600
2019-10-10,27.440001,27.820000,26.670000,27.709999,27.599270,740300
2019-10-11,28.040001,28.580000,27.490000,27.520000,27.410030,817900
2019-10-14,27.240000,28.400000,27.240000,28.350000,28.236713,715200
2019-10-15,28.350000,28.670000,28.129999,28.500000,28.386114,543300
2019-10-16,28.629999,29.850000,28.590000,29.540001,29.421959,1048100
2019-10-17,29.809999,30.250000,29.040001,29.100000,28.983717,611600
2019-10-18,29.049999,29.250000,28.160000,28.420000,28.306433,829200
2019-10-21,29.030001,29.770000,28.920000,29.469999,29.352238,768600
2019-10-22,29.700001,30.410000,29.389999,30.129999,30.009600,975200
2019-10-23,28.500000,29.260000,27.200001,27.990000,27.878151,1901400
2019-10-24,28.370001,28.549999,27.150000,27.530001,27.419991,957500
2019-10-25,27.360001,28.010000,27.360001,27.690001,27.579351,638400
2019-10-28,27.709999,28.430000,27.690001,28.000000,27.888111,462400
2019-10-29,27.870001,28.340000,27.719999,28.090000,27.977753,491800
2019-10-30,27.920000,28.430000,27.680000,28.309999,28.196873,466600
2019-10-31,28.250000,28.639999,27.700001,28.610001,28.495674,549200
2019-11-01,29.000000,29.139999,28.320000,28.469999,28.356234,545300
2019-11-04,29.020000,29.450001,28.719999,29.260000,29.143076,810300
2019-11-05,29.290001,30.379999,29.250000,30.170000,30.049440,893300
2019-11-06,30.049999,30.660000,29.870001,30.629999,30.507601,523500
2019-11-07,30.750000,31.110001,29.980000,30.180000,30.059401,451100
2019-11-08,30.010000,30.160000,29.500000,30.139999,30.019560,319700
2019-11-11,30.100000,30.629999,29.950001,30.240000,30.119160,440700
2019-11-12,30.219999,30.459999,29.510000,29.620001,29.501638,546200
2019-11-13,29.350000,30.150000,29.290001,30.030001,29.910000,410400
2019-11-14,30.000000,30.299999,29.740000,30.290001,30.290001,329900
2019-11-15,30.549999,30.740000,30.309999,30.629999,30.629999,411100
2019-11-18,30.389999,30.600000,30.190001,30.440001,30.440001,431600
2019-11-19,30.469999,31.299999,30.180000,31.020000,31.020000,637300
2019-11-20,30.719999,30.940001,30.000000,30.530001,30.530001,532100
2019-11-21,30.680000,30.680000,29.850000,30.040001,30.040001,467900
2019-11-22,30.209999,30.660000,30.020000,30.580000,30.580000,350600
2019-11-25,30.750000,31.219999,30.389999,30.770000,30.770000,539200
2019-11-26,30.670000,31.070000,30.590000,30.860001,30.860001,560400
2019-11-27,30.920000,31.120001,30.520000,30.670000,30.670000,274800
2019-11-29,30.450001,30.719999,30.230000,30.290001,30.290001,210700
2019-12-02,30.350000,30.660000,30.010000,30.080000,30.080000,328600
2019-12-03,29.840000,29.840000,28.850000,29.080000,29.080000,633800
2019-12-04,29.290001,29.690001,29.170000,29.260000,29.260000,542500
2019-12-05,29.360001,29.580000,29.129999,29.450001,29.450001,325400
2019-12-06,29.730000,30.120001,29.639999,29.920000,29.920000,373900
2019-12-09,29.889999,30.110001,29.639999,29.719999,29.719999,347000
2019-12-10,29.700001,30.000000,29.190001,29.290001,29.290001,419100
2019-12-11,29.410000,29.530001,29.020000,29.120001,29.120001,257300
2019-12-12,29.290001,30.280001,29.290001,30.120001,30.120001,600900
2019-12-13,30.090000,30.480000,29.510000,29.540001,29.540001,340100
2019-12-16,29.680000,30.270000,29.549999,29.840000,29.840000,612900
2019-12-17,29.750000,31.340000,29.750000,30.889999,30.889999,1132700
2019-12-18,30.950001,31.070000,30.450001,30.559999,30.559999,328700
2019-12-19,30.600000,30.610001,30.160000,30.400000,30.400000,589600
2019-12-20,30.480000,30.620001,30.120001,30.290001,30.290001,1404800
2019-12-23,30.360001,31.110001,30.340000,30.799999,30.799999,448800
